time,frequency,confidence
3.044,471.874,0.921192
3.048,471.481,0.888318
3.052,471.266,0.869371
3.056,470.671,0.860181
3.060,470.154,0.831573
3.064,470.148,0.773662
3.068,470.208,0.737014
3.072,470.467,0.701090
3.076,521.897,0.549701
3.080,588.405,0.489189
3.084,698.448,0.386731
3.088,777.587,0.342960
3.092,778.226,0.691414
3.096,778.776,0.851739
3.100,779.523,0.923059
3.104,780.193,0.938726
3.108,780.332,0.944697
3.112,780.292,0.949567
3.116,780.433,0.953328
3.120,780.683,0.953959
3.124,780.858,0.952454
3.128,781.117,0.950466
3.132,781.296,0.949646
3.136,781.446,0.946974
3.140,781.606,0.946933
3.144,781.821,0.947462
3.148,782.118,0.950085
3.152,782.073,0.949730
3.156,782.328,0.951644
3.160,782.504,0.952635
3.164,782.564,0.952697
3.168,782.614,0.952856
3.172,782.820,0.954289
3.176,782.941,0.953602
3.180,783.112,0.954085
3.184,783.210,0.954876
3.188,783.494,0.956474
3.192,783.578,0.955503
3.196,783.511,0.955720
3.200,783.644,0.957581
3.204,783.702,0.957476
3.208,783.687,0.957499
3.212,783.727,0.958462
3.216,783.704,0.958242
3.220,783.800,0.956890
3.224,783.679,0.955076
3.228,783.546,0.954357
3.232,783.306,0.951434
3.236,783.090,0.949699
3.240,782.701,0.946393
3.244,782.290,0.943479
3.248,781.913,0.941687
3.252,781.797,0.938223
3.256,781.547,0.936287
3.260,781.560,0.932618
3.264,781.762,0.931413
3.268,782.091,0.939176
3.272,781.960,0.927666
3.276,781.717,0.920302
3.280,781.237,0.871458
3.284,780.033,0.835551
3.288,776.694,0.781846
3.292,773.426,0.715221
3.296,771.520,0.665938
3.300,770.926,0.645816
3.304,770.719,0.640452
3.308,770.670,0.638575
3.312,770.332,0.651209
3.316,770.350,0.680418
3.320,770.561,0.692423
3.324,771.468,0.716725
3.328,772.125,0.728077
3.332,771.516,0.733928
3.336,771.752,0.750562
3.340,771.673,0.741061
3.344,771.384,0.727056
3.348,770.603,0.712490
3.352,769.375,0.684523
3.356,766.629,0.717381
3.360,762.915,0.758647
3.364,760.661,0.803341
3.368,757.915,0.818830
3.372,755.649,0.860634
3.376,753.843,0.881498
3.380,752.842,0.885683
3.384,752.231,0.889403
3.388,752.039,0.901650
3.392,752.516,0.910648
3.396,753.091,0.915600
3.400,752.474,0.915607
3.404,751.345,0.907316
3.408,750.037,0.894954
3.412,749.268,0.886327
3.416,748.915,0.887067
3.420,749.508,0.901777
3.424,750.293,0.914868
3.428,750.610,0.922291
3.432,749.777,0.918712
3.436,748.632,0.903656
3.440,747.578,0.889581
3.444,747.354,0.883445
3.448,747.599,0.881266
3.452,748.665,0.878605
3.456,749.134,0.876769
3.460,749.355,0.849007
3.464,747.409,0.800901
3.468,744.694,0.733629
3.472,737.930,0.599383
3.476,663.227,0.503834
3.480,662.764,0.798240
3.484,662.721,0.879564
3.488,662.551,0.916313
3.492,662.497,0.937414
3.496,662.451,0.947083
3.500,662.070,0.952972
3.504,662.087,0.956619
3.508,662.104,0.955954
3.512,662.157,0.957888
3.516,662.045,0.960047
3.520,661.894,0.962216
3.524,661.755,0.963177
3.528,661.401,0.963837
3.532,661.563,0.963481
3.536,661.670,0.964246
3.540,661.798,0.963542
3.544,661.867,0.962822
3.548,662.049,0.964922
3.552,662.100,0.966529
3.556,661.946,0.967764
3.560,661.938,0.968181
3.564,661.648,0.968691
3.568,661.508,0.969627
3.572,661.330,0.969366
3.576,661.323,0.969892
3.580,661.450,0.970489
3.584,661.600,0.969994
3.588,661.721,0.969362
3.592,661.891,0.969320
3.596,661.718,0.970096
3.600,661.708,0.970214
3.604,661.789,0.971365
3.608,661.811,0.971744
3.612,661.874,0.970177
3.616,662.126,0.969994
3.620,662.155,0.969697
3.624,662.103,0.968751
3.628,662.172,0.968282
3.632,662.077,0.969864
3.636,661.838,0.970589
3.640,661.658,0.970442
3.644,661.541,0.971051
3.648,661.362,0.970996
3.652,661.355,0.970127
3.656,661.176,0.969625
3.660,661.449,0.969632
3.664,661.611,0.968924
3.668,661.645,0.967923
3.672,661.935,0.967365
3.676,662.179,0.963239
3.680,662.168,0.962105
3.684,662.403,0.951842
3.688,662.666,0.937169
3.692,661.304,0.906945
3.696,660.909,0.896225
3.700,660.379,0.887373
3.704,658.640,0.813869
3.708,656.839,0.499849
3.712,594.590,0.570083
3.716,594.146,0.785195
3.720,594.611,0.822980
3.724,593.973,0.874889
3.728,594.303,0.899239
3.732,594.496,0.909622
3.736,594.946,0.925863
3.740,595.132,0.929709
3.744,595.172,0.927917
3.748,595.377,0.931604
3.752,595.215,0.933160
3.756,595.164,0.933549
3.760,594.968,0.929254
3.764,594.746,0.921714
3.768,595.011,0.925839
3.772,594.732,0.924790
3.776,594.541,0.923967
3.780,594.574,0.923101
3.784,594.173,0.922529
3.788,594.089,0.922098
3.792,594.173,0.919853
3.796,594.195,0.920920
3.800,594.380,0.921659
3.804,594.276,0.919213
3.808,594.296,0.921470
3.812,594.483,0.921638
3.816,594.240,0.919950
3.820,594.284,0.923401
3.824,594.391,0.922043
3.828,594.448,0.924464
3.832,594.933,0.925362
3.836,594.596,0.920257
3.840,594.730,0.922800
3.844,595.182,0.921987
3.848,594.886,0.916553
3.852,594.761,0.917435
3.856,594.742,0.917631
3.860,594.439,0.917692
3.864,594.161,0.913821
3.868,593.597,0.915549
3.872,593.298,0.932175
3.876,592.809,0.947028
3.880,592.195,0.961874
3.884,591.455,0.973639
3.888,590.898,0.977892
3.892,590.275,0.980464
3.896,589.617,0.979341
3.900,589.560,0.973443
3.904,589.688,0.963279
3.908,589.759,0.933655
3.912,590.427,0.873749
3.916,536.945,0.694116
3.920,496.979,0.414388
3.924,497.232,0.719479
3.928,497.085,0.838364
3.932,496.806,0.849267
3.936,497.506,0.853218
3.940,497.463,0.888908
3.944,497.534,0.903389
3.948,497.490,0.902545
3.952,497.133,0.917886
3.956,496.936,0.930034
3.960,496.433,0.937616
3.964,496.386,0.942428
3.968,496.295,0.943174
3.972,496.078,0.953487
3.976,496.187,0.951719
3.980,496.111,0.951354
3.984,496.174,0.954556
3.988,496.408,0.946093
3.992,496.419,0.944944
3.996,496.687,0.944901
4.000,496.889,0.941338
4.004,497.059,0.942763
4.008,497.127,0.941969
4.012,497.200,0.948850
4.016,497.169,0.952369
4.020,497.201,0.950479
4.024,497.003,0.955311
4.028,496.980,0.956005
4.032,496.914,0.956275
4.036,497.051,0.956634
4.040,497.097,0.954591
4.044,496.891,0.956225
4.048,496.961,0.955271
4.052,496.897,0.952526
4.056,496.466,0.955059
4.060,496.358,0.950611
4.064,496.334,0.944770
4.068,496.333,0.940578
4.072,496.496,0.930080
4.076,496.659,0.916954
4.080,497.043,0.899453
4.084,497.109,0.836897
4.088,496.998,0.806751
4.092,496.877,0.724900
4.096,496.332,0.648133
4.100,495.543,0.639303
4.104,494.767,0.639521
4.108,494.355,0.657785
4.112,494.524,0.647736
4.116,494.475,0.707599
4.120,494.083,0.558724
4.124,493.968,0.431677
4.128,493.365,0.391625
4.132,493.358,0.345270
4.136,492.911,0.365669
4.140,492.914,0.371265
4.144,492.622,0.382209
4.148,492.890,0.336042
4.152,492.996,0.328081
4.156,492.990,0.426996
4.160,493.193,0.375473
4.164,493.503,0.472266
4.168,493.706,0.496789
4.172,494.292,0.492208
4.176,494.643,0.450828
4.180,495.576,0.411392
4.184,460.617,0.330623
4.188,407.512,0.381321
4.192,374.248,0.527387
4.196,374.282,0.634445
4.200,374.732,0.693116
4.204,374.664,0.716055
4.208,374.579,0.663444
4.212,374.295,0.678042
4.216,374.393,0.668867
4.220,374.086,0.725104
4.224,374.253,0.740010
4.228,374.015,0.760511
4.232,374.098,0.734073
4.236,373.915,0.735633
4.240,373.721,0.629813
4.244,373.314,0.697448
4.248,373.038,0.674387
4.252,372.741,0.707592
4.256,372.697,0.701806
4.260,372.548,0.600813
4.264,372.495,0.567012
4.268,372.282,0.392774
4.272,372.356,0.496863
4.276,372.116,0.360020
4.280,372.203,0.423061
4.284,372.043,0.357609
