time,frequency,confidence
2.804,236.971,0.920710
2.808,237.061,0.932593
2.812,237.102,0.941599
2.816,237.113,0.944606
2.820,237.104,0.947340
2.824,237.138,0.948644
2.828,237.135,0.947523
2.832,237.063,0.947323
2.836,236.968,0.944590
2.840,236.773,0.943684
2.844,236.597,0.940482
2.848,236.518,0.939438
2.852,236.511,0.937200
2.856,236.584,0.943001
2.860,236.636,0.944006
2.864,236.677,0.943195
2.868,236.668,0.945071
2.872,236.594,0.941351
2.876,236.501,0.941275
2.880,236.386,0.936216
2.884,236.370,0.937364
2.888,236.277,0.937499
2.892,236.359,0.931541
2.896,236.466,0.939986
2.900,236.453,0.938230
2.904,236.371,0.934979
2.908,236.236,0.922034
2.912,235.914,0.891845
2.916,235.744,0.862914
2.920,235.398,0.848166
2.924,235.424,0.792798
2.928,235.243,0.755738
2.932,235.185,0.685586
2.936,235.300,0.519845
2.940,235.940,0.404650
2.944,259.764,0.167780
2.948,292.052,0.165047
2.952,339.019,0.241731
2.956,384.757,0.280085
2.960,385.407,0.291408
2.964,412.655,0.294338
2.968,472.444,0.348779
2.972,472.194,0.472668
2.976,473.853,0.529983
2.980,474.525,0.454629
2.984,476.088,0.432220
2.988,476.243,0.345731
2.992,473.244,0.284936
2.996,474.970,0.194611
3.000,421.994,0.246386
3.004,357.570,0.543136
3.008,325.945,0.674310
3.012,327.351,0.807632
3.016,327.892,0.869321
3.020,328.548,0.887676
3.024,329.174,0.924589
3.028,329.477,0.948860
3.032,329.794,0.958742
3.036,330.104,0.966662
3.040,330.244,0.971469
3.044,330.157,0.970112
3.048,329.964,0.968368
3.052,329.796,0.963176
3.056,329.553,0.954508
3.060,329.273,0.948103
3.064,329.086,0.942311
3.068,328.972,0.940518
3.072,328.704,0.930009
3.076,328.422,0.936886
3.080,328.213,0.942620
3.084,327.964,0.950851
3.088,328.047,0.951987
3.092,328.162,0.947847
3.096,328.067,0.948382
3.100,328.260,0.948558
3.104,328.437,0.944351
3.108,328.430,0.942366
3.112,328.610,0.938639
3.116,328.662,0.933926
3.120,328.755,0.934121
3.124,328.943,0.941571
3.128,329.186,0.948153
3.132,329.364,0.952504
3.136,329.560,0.958113
3.140,329.766,0.961116
3.144,330.006,0.963366
3.148,330.025,0.962916
3.152,330.112,0.964299
3.156,330.085,0.963086
3.160,329.906,0.959436
3.164,329.806,0.955138
3.168,329.714,0.949082
3.172,329.645,0.941503
3.176,329.654,0.932875
3.180,329.697,0.926354
3.184,329.732,0.920699
3.188,330.003,0.904747
3.192,330.079,0.894402
3.196,329.785,0.885343
3.200,329.214,0.855608
3.204,328.621,0.852452
3.208,327.766,0.884422
3.212,327.877,0.894083
3.216,327.790,0.844328
3.220,327.783,0.701015
3.224,327.962,0.501342
3.228,291.554,0.774909
3.232,292.104,0.875203
3.236,292.315,0.905197
3.240,292.542,0.911089
3.244,292.636,0.921003
3.248,292.809,0.917011
3.252,292.966,0.922235
3.256,293.203,0.939902
3.260,293.397,0.953383
3.264,293.690,0.963235
3.268,293.771,0.963041
3.272,293.766,0.964437
3.276,293.840,0.966362
3.280,293.782,0.965083
3.284,293.630,0.959533
3.288,293.470,0.953375
3.292,293.673,0.956529
3.296,293.512,0.946002
3.300,293.514,0.942525
3.304,293.485,0.943043
3.308,293.482,0.940500
3.312,293.243,0.930104
3.316,293.264,0.930374
3.320,293.222,0.922012
3.324,293.250,0.919770
3.328,293.233,0.912068
3.332,293.132,0.907512
3.336,293.222,0.903460
3.340,293.369,0.886705
3.344,293.773,0.877994
3.348,294.673,0.859558
3.352,294.701,0.786350
3.356,294.650,0.622291
3.360,293.948,0.504063
3.364,292.115,0.377389
3.368,271.093,0.311749
3.372,271.518,0.421348
3.376,275.569,0.509720
3.380,276.097,0.608907
3.384,276.151,0.713435
3.388,277.453,0.747636
3.392,277.688,0.851728
3.396,278.043,0.860925
3.400,278.269,0.904606
