time,frequency,confidence
2.792,277.259,0.941313
2.796,277.577,0.952857
2.800,277.903,0.953920
2.804,278.164,0.953016
2.808,278.358,0.949817
2.812,278.447,0.949972
2.816,278.505,0.948121
2.820,278.415,0.946623
2.824,278.316,0.944449
2.828,278.169,0.943612
2.832,277.904,0.947389
2.836,277.715,0.939113
2.840,277.243,0.929488
2.844,276.891,0.912504
2.848,276.599,0.898342
2.852,276.439,0.868792
2.856,276.498,0.836024
2.860,276.495,0.790424
2.864,278.066,0.691232
2.868,281.914,0.562630
2.872,289.564,0.574209
2.876,293.078,0.738877
2.880,293.799,0.857838
2.884,293.862,0.898332
2.888,294.034,0.926954
2.892,294.242,0.941997
2.896,294.123,0.952707
2.900,294.180,0.961230
2.904,294.109,0.962524
2.908,294.415,0.970209
2.912,294.483,0.973377
2.916,294.624,0.977016
2.920,294.652,0.978235
2.924,294.643,0.981330
2.928,294.482,0.981985
2.932,294.259,0.978414
2.936,293.790,0.970311
2.940,293.501,0.952107
2.944,293.326,0.926208
2.948,293.062,0.871092
2.952,292.989,0.792399
2.956,293.222,0.728474
2.960,293.977,0.662319
2.964,295.448,0.547514
2.968,296.053,0.440425
2.972,300.364,0.419157
2.976,318.001,0.376844
2.980,325.392,0.629331
2.984,326.877,0.763813
2.988,327.882,0.826565
2.992,328.124,0.840727
2.996,328.470,0.876894
3.000,328.615,0.896925
3.004,328.894,0.921966
3.008,329.275,0.952173
3.012,329.564,0.961845
3.016,329.842,0.968112
3.020,329.971,0.972870
3.024,330.425,0.976369
3.028,330.686,0.976972
3.032,330.888,0.977603
3.036,330.984,0.976176
3.040,330.911,0.972732
3.044,330.799,0.968691
3.048,330.585,0.954579
3.052,330.463,0.941712
3.056,330.489,0.933258
3.060,330.422,0.912902
3.064,330.295,0.888978
3.068,330.049,0.849208
3.072,329.891,0.784948
3.076,329.547,0.674558
3.080,329.407,0.558087
3.084,328.640,0.285496
3.088,334.394,0.273528
3.092,362.317,0.265668
3.096,369.002,0.428791
3.100,370.078,0.660094
3.104,370.866,0.736885
3.108,371.981,0.810309
3.112,372.293,0.836613
3.116,373.024,0.817076
3.120,373.288,0.822748
3.124,373.313,0.816105
3.128,373.472,0.822581
3.132,373.857,0.839944
3.136,373.881,0.831182
3.140,374.279,0.840187
3.144,374.320,0.816614
3.148,374.314,0.786250
3.152,374.689,0.725840
3.156,375.435,0.571455
3.160,375.290,0.351872
3.164,375.679,0.301720
3.168,376.623,0.190209
3.172,380.677,0.207948
3.176,387.825,0.173290
3.180,394.218,0.206234
3.184,405.637,0.297178
3.188,411.996,0.295390
3.192,412.944,0.499808
3.196,415.035,0.528651
3.200,416.862,0.670309
3.204,417.544,0.781515
3.208,418.261,0.858644
3.212,419.019,0.875308
3.216,419.634,0.885738
3.220,420.036,0.904378
3.224,420.680,0.912815
3.228,421.046,0.919596
3.232,421.696,0.914579
3.236,422.648,0.887315
3.240,423.297,0.850223
3.244,424.677,0.805270
3.248,427.639,0.738499
3.252,432.330,0.623037
3.256,438.361,0.656140
3.260,441.230,0.649808
3.264,443.130,0.601119
3.268,444.121,0.618473
3.272,448.557,0.528940
3.276,453.686,0.577630
3.280,455.965,0.687357
3.284,457.301,0.739876
3.288,459.891,0.784126
3.292,462.520,0.869008
3.296,464.090,0.900471
3.300,464.972,0.899969
3.304,465.606,0.930389
3.308,466.064,0.954745
3.312,466.249,0.960030
3.316,466.027,0.957127
3.320,465.593,0.947527
3.324,465.245,0.937413
3.328,464.834,0.918802
3.332,464.751,0.909237
3.336,464.519,0.902165
3.340,464.026,0.907200
3.344,463.525,0.896868
3.348,463.366,0.877366
3.352,463.826,0.846009
